VID                  Type   x                    y                    CID                                      Seq   
S2                   f      74.0                 39.0                 S2_static_charger                        1     
S6                   f      34.0                 71.0                 S6_static_charger                        1     
S19                  f      62.0                 21.0                 S19_static_charger                       1     
S14                  f      26.0                 6.0                  S14_static_charger                       1     
S9                   f      18.0                 41.0                 S9_static_charger                        1     
S20                  f      74.0                 30.0                 S20_static_charger                       1     
S13                  f      24.0                 25.0                 S13_static_charger                       1     
S17                  f      50.0                 9.0                  S17_static_charger                       1     
S3                   f      47.0                 57.0                 S3_static_charger                        1     
S10                  f      5.0                  39.0                 S10_static_charger                       1     
S11                  f      14.0                 20.0                 S11_static_charger                       1     
S15                  f      34.0                 20.0                 S15_static_charger                       1     
S16                  f      41.0                 5.0                  S16_static_charger                       1     
S7                   f      22.0                 58.0                 S7_static_charger                        1     
S8                   f      7.0                  61.0                 S8_static_charger                        1     
S5                   f      29.0                 59.0                 S5_static_charger                        1     
S12                  f      0.0                  26.0                 S12_static_charger                       1     
S1                   f      61.0                 37.0                 S1_static_charger                        1     
S18                  f      61.0                 14.0                 S18_static_charger                       1     
S4                   f      57.0                 65.0                 S4_static_charger                        1     
I3                   i      26.444444444444443   52.888888888888886   I3_static_charger                        1     
I5                   i      36.76470588235294    39.11764705882353    I5_static_charger                        1     
I2                   i      26.9645390070922     13.347517730496454   I2_static_charger                        1     
I1                   i      46.2                 17.6                 I1_static_charger                        1     
I6                   i      58.9622641509434     67.01886792452831    I6_static_charger                        1     
DC_C100_C14_2        x      15.035112343112198   10.093632914965863   C100_to_C14_dynamic_charger              2     
DC_C68_C76_0         x      55.90808549572053    39.039391930405486   C68_to_C76_dynamic_charger               0     
DC_C14_C42_1         x      18.032539570286772   10.673897682285949   C14_to_C42_dynamic_charger               1     
DC_C54_C80_0         x      56.987596526928314   29.099227784573504   C54_to_C80_dynamic_charger               0     
DC_C32_C31_1         x      33.65903202212321    63.30088609402367    C32_to_C31_dynamic_charger               1     
DC_C12_Depot_2       x      35.1                 35.0                 C12_to_Depot_dynamic_charger             2     
DC_C70_C52_2         x      30.353657025940166   47.35975413372222    C70_to_C52_dynamic_charger               2     
DC_C51_C3_0          x      49.04190581793137    57.90920406114869    C51_to_C3_dynamic_charger                0     
DC_C78_C33_2         x      53.1                 52.0                 C78_to_C33_dynamic_charger               2     
DC_C35_C9_2          x      55.08479983158753    60.05299989474221    C35_to_C9_dynamic_charger                2     
DC_C19_C88_1         x      18.69362453516976    57.31372761078563    C19_to_C88_dynamic_charger               1     
DC_C49_C64_0         x      6.070710678459531    68.07071067845953    C49_to_C64_dynamic_charger               0     
DC_C45_C82_1         x      9.023570226153177    41.023570226153176   C45_to_C82_dynamic_charger               1     
DC_C54_C80_3         x      56.012403473071686   36.9007722154265     C54_to_C80_dynamic_charger               3     
DC_C74_C57_0         x      45.90025413109984    12.99287529507856    C74_to_C57_dynamic_charger               0     
DC_C56_C4_0          x      53.02425356324256    12.097014252970242   C56_to_C4_dynamic_charger                0     
DC_C73_C40_2         x      40.04472135909999    24.910557281800017   C73_to_C40_dynamic_charger               2     
DC_C45_C82_3         x      14.929289321540468   46.929289321540466   C45_to_C82_dynamic_charger               3     
DC_C69_C50_0         x      37.1                 47.0                 C69_to_C50_dynamic_charger               0     
DC_C27_C53_2         x      36.97830695314215    31.09761871086032    C27_to_C53_dynamic_charger               2     
DC_C23_C67_2         x      66.9                 5.0                  C23_to_C67_dynamic_charger               2     
DC_C26_C54_1         x      51.0                 29.5                 C26_to_C54_dynamic_charger               1     
DC_C72_C23_1         x      51.0                 10.5                 C72_to_C23_dynamic_charger               1     
DC_C33_C77_1         x      53.0                 48.96666666666667    C33_to_C77_dynamic_charger               1     
DC_C24_C12_2         x      50.1                 35.0                 C24_to_C12_dynamic_charger               2     
DC_C2_C21_2          x      44.90421737598329    19.97126521279499    C2_to_C21_dynamic_charger                2     
DC_C33_C77_2         x      53.0                 46.03333333333333    C33_to_C77_dynamic_charger               2     
DC_C50_C30_3         x      40.04740998249691    59.911952889648596   C50_to_C30_dynamic_charger               3     
DC_C61_C84_1         x      11.66195262158418    26.366331648910744   C61_to_C84_dynamic_charger               1     
