VID                  Type   x                    y                    CID                                      Seq   
S19                  f      74.0                 32.0                 S19_static_charger                       1     
S17                  f      59.0                 17.0                 S17_static_charger                       1     
S13                  f      26.0                 37.0                 S13_static_charger                       1     
S1                   f      73.0                 52.0                 S1_static_charger                        1     
S12                  f      -5.0                 38.0                 S12_static_charger                       1     
S15                  f      39.0                 31.0                 S15_static_charger                       1     
S8                   f      4.0                  83.0                 S8_static_charger                        1     
S2                   f      90.0                 55.0                 S2_static_charger                        1     
S16                  f      48.0                 11.0                 S16_static_charger                       1     
S5                   f      32.0                 80.0                 S5_static_charger                        1     
S9                   f      18.0                 58.0                 S9_static_charger                        1     
S14                  f      28.0                 13.0                 S14_static_charger                       1     
S3                   f      55.0                 79.0                 S3_static_charger                        1     
S6                   f      39.0                 96.0                 S6_static_charger                        1     
S4                   f      69.0                 89.0                 S4_static_charger                        1     
S10                  f      1.0                  56.0                 S10_static_charger                       1     
S7                   f      23.0                 80.0                 S7_static_charger                        1     
S20                  f      90.0                 44.0                 S20_static_charger                       1     
S18                  f      73.0                 23.0                 S18_static_charger                       1     
S11                  f      13.0                 31.0                 S11_static_charger                       1     
I12                  i      41.62698412698413    63.01587301587302    I12_static_charger                       1     
I4                   i      28.857142857142858   53.714285714285715   I4_static_charger                        1     
I13                  i      45.0                 69.23076923076923    I13_static_charger                       1     
I6                   i      35.87248322147651    59.630872483221474   I6_static_charger                        1     
I17                  i      51.75                45.48076923076923    I17_static_charger                       1     
I7                   i      36.816770186335404   60.18633540372671    I7_static_charger                        1     
I2                   i      14.0                 47.5                 I2_static_charger                        1     
I18                  i      52.1551724137931     45.94827586206897    I18_static_charger                       1     
I11                  i      41.885714285714286   65.08571428571429    I11_static_charger                       1     
I14                  i      47.52                40.6                 I14_static_charger                       1     
C31                  ic     10.0                 35.0                 I1_static_charger                        1     
DC_C78_C81_2         x      85.1                 35.0                 C78_to_C81_dynamic_charger               2     
DC_C100_C99_0        x      55.0                 84.9                 C100_to_C99_dynamic_charger              0     
DC_C91_Depot_0       x      59.91055728180002    59.95527864090001    C91_to_Depot_dynamic_charger             0     
DC_C15_C13_1         x      21.0                 77.5                 C15_to_C13_dynamic_charger               1     
DC_C72_C66_0         x      52.92317787522806    30.064018437309944   C72_to_C66_dynamic_charger               0     
DC_Depot_C98_2       x      57.94156952817134    74.91884656690465    Depot_to_C98_dynamic_charger             2     
DC_C62_C64_1         x      49.0                 32.5                 C62_to_C64_dynamic_charger               1     
DC_C11_C8_3          x      37.90513168038989    68.03162277320337    C11_to_C8_dynamic_charger                3     
DC_C47_C43_2         x      32.9                 35.0                 C47_to_C43_dynamic_charger               2     
DC_C77_C80_3         x      85.05144957461492    25.08574929102486    C77_to_C80_dynamic_charger               3     
DC_C7_C6_1           x      40.0                 67.5                 C7_to_C6_dynamic_charger                 1     
DC_C97_C100_1        x      58.3                 85.0                 C97_to_C100_dynamic_charger              1     
DC_C37_C35_2         x      3.9828501417950273   36.69524976367495    C37_to_C35_dynamic_charger               2     
DC_C68_C69_2         x      45.0                 33.3                 C68_to_C69_dynamic_charger               2     
DC_C46_C48_1         x      29.30976310625423    31.30976310625423    C46_to_C48_dynamic_charger               1     
DC_C89_C91_0         x      62.91679496420935    58.05547002386043    C89_to_C91_dynamic_charger               0     
DC_C46_C48_0         x      29.92928931876269    31.92928931876269    C46_to_C48_dynamic_charger               0     
DC_Depot_C22_2       x      28.098639392874535   51.98356010118758    Depot_to_C22_dynamic_charger             2     
DC_C71_C76_1         x      93.3                 35.0                 C71_to_C76_dynamic_charger               1     
DC_Depot_C67_0       x      40.057346232631055   49.91807681052707    Depot_to_C67_dynamic_charger             0     
DC_C83_C84_2         x      70.05547002386044    57.91679496420935    C83_to_C84_dynamic_charger               2     
DC_C9_C11_3          x      35.09486831961011    69.03162277320337    C9_to_C11_dynamic_charger                3     
DC_C16_C19_2         x      15.07071067623731    80.07071067623731    C16_to_C19_dynamic_charger               2     
DC_C68_C69_0         x      45.0                 30.1                 C68_to_C69_dynamic_charger               0     
DC_C49_Depot_2       x      35.979176832060055   44.97397104007507    C49_to_Depot_dynamic_charger             2     
DC_C78_C81_0         x      87.9                 35.0                 C78_to_C81_dynamic_charger               0     
DC_C13_C10_1         x      28.5                 70.5                 C13_to_C10_dynamic_charger               1     
DC_C63_C74_1         x      51.5                 37.5                 C63_to_C74_dynamic_charger               1     
DC_C7_C6_2           x      40.0                 68.9                 C7_to_C6_dynamic_charger                 2     
DC_Depot_C21_0       x      39.90194193216951    50.0196116135661     Depot_to_C21_dynamic_charger             0     
