CID                                      InvCost              VarCost              ChargingRate        
S14_static_charger                       17.3368              0.0                  0.295               
S18_static_charger                       16.685               0.0                  0.295               
S12_static_charger                       15.4222              0.0                  0.295               
S13_static_charger                       24.674               0.0                  0.295               
S20_static_charger                       17.5773              0.0                  0.295               
S2_static_charger                        18.5302              0.0                  0.295               
S15_static_charger                       16.933               0.0                  0.295               
S11_static_charger                       19.6302              0.0                  0.295               
S3_static_charger                        20.3065              0.0                  0.295               
S17_static_charger                       23.6578              0.0                  0.295               
S9_static_charger                        20.275               0.0                  0.295               
S5_static_charger                        18.9725              0.0                  0.295               
S7_static_charger                        17.8398              0.0                  0.295               
S8_static_charger                        21.5861              0.0                  0.295               
S19_static_charger                       24.7869              0.0                  0.295               
S6_static_charger                        22.0148              0.0                  0.295               
S16_static_charger                       17.4163              0.0                  0.295               
S4_static_charger                        22.4785              0.0                  0.295               
S10_static_charger                       19.2913              0.0                  0.295               
S1_static_charger                        21.2769              0.0                  0.295               
I17_static_charger                       24.0884              0.0                  0.295               
I13_static_charger                       16.2161              0.0                  0.295               
I10_static_charger                       18.44                0.0                  0.295               
I5_static_charger                        19.1622              0.0                  0.295               
I2_static_charger                        24.0112              0.0                  0.295               
I1_static_charger                        20.5771              0.0                  0.295               
I16_static_charger                       18.1274              0.0                  0.295               
I8_static_charger                        19.4529              0.0                  0.295               
I3_static_charger                        23.958               0.0                  0.295               
I15_static_charger                       17.6232              0.0                  0.295               
I9_static_charger                        24.3942              0.0                  0.295               
I11_static_charger                       24.1049              0.0                  0.295               
C39_to_C38_dynamic_charger               1.8256               0.001                1.1799              
C2_to_C4_dynamic_charger                 1.8246               0.001                1.1799              
C77_to_C80_dynamic_charger               2.3317               0.001                0.295               
C77_to_C80_dynamic_charger               2.3317               0.001                0.295               
C82_to_C84_dynamic_charger               1.5742               0.001                0.295               
C72_to_C61_dynamic_charger               2.3983               0.001                1.1799              
Depot_to_C20_dynamic_charger             2.1655               0.001                1.1799              
C89_to_C91_dynamic_charger               2.0656               0.001                0.295               
C50_to_C47_dynamic_charger               1.8789               0.001                1.1799              
C8_to_Depot_dynamic_charger              1.9056               0.001                0.295               
Depot_to_C20_dynamic_charger             2.1655               0.001                1.1799              
C20_to_C24_dynamic_charger               1.6186               0.001                1.1799              
C11_to_C9_dynamic_charger                1.99                 0.001                1.1799              
C37_to_C35_dynamic_charger               1.9322               0.001                1.1799              
C53_to_C54_dynamic_charger               1.9555               0.001                1.1799              
C43_to_C42_dynamic_charger               2.319                0.001                1.1799              
C39_to_C38_dynamic_charger               1.8256               0.001                1.1799              
Depot_to_C67_dynamic_charger             2.416                0.001                1.1799              
C64_to_C68_dynamic_charger               1.683                0.001                1.1799              
C86_to_C83_dynamic_charger               2.4985               0.001                1.1799              
Depot_to_C41_dynamic_charger             1.6729               0.001                0.295               
C16_to_C19_dynamic_charger               2.1522               0.001                1.1799              
C13_to_Depot_dynamic_charger             2.3961               0.001                1.1799              
C13_to_Depot_dynamic_charger             2.3961               0.001                1.1799              
