VID                  Type   x                    y                    CID                                      Seq   
S14                  f      28.0                 13.0                 S14_static_charger                       1     
S18                  f      73.0                 23.0                 S18_static_charger                       1     
S12                  f      -5.0                 38.0                 S12_static_charger                       1     
S13                  f      26.0                 37.0                 S13_static_charger                       1     
S20                  f      90.0                 44.0                 S20_static_charger                       1     
S2                   f      90.0                 55.0                 S2_static_charger                        1     
S15                  f      39.0                 31.0                 S15_static_charger                       1     
S11                  f      13.0                 31.0                 S11_static_charger                       1     
S3                   f      55.0                 79.0                 S3_static_charger                        1     
S17                  f      59.0                 17.0                 S17_static_charger                       1     
S9                   f      18.0                 58.0                 S9_static_charger                        1     
S5                   f      32.0                 80.0                 S5_static_charger                        1     
S7                   f      23.0                 80.0                 S7_static_charger                        1     
S8                   f      4.0                  83.0                 S8_static_charger                        1     
S19                  f      74.0                 32.0                 S19_static_charger                       1     
S6                   f      39.0                 96.0                 S6_static_charger                        1     
S16                  f      48.0                 11.0                 S16_static_charger                       1     
S4                   f      69.0                 89.0                 S4_static_charger                        1     
S10                  f      1.0                  56.0                 S10_static_charger                       1     
S1                   f      73.0                 52.0                 S1_static_charger                        1     
I17                  i      82.48780487804878    31.21951219512195    I17_static_charger                       1     
I13                  i      75.24299065420561    33.177570093457945   I13_static_charger                       1     
I10                  i      49.85                30.25                I10_static_charger                       1     
I5                   i      26.666666666666668   53.333333333333336   I5_static_charger                        1     
I2                   i      20.0                 52.0                 I2_static_charger                        1     
I1                   i      16.571428571428573   48.57142857142857    I1_static_charger                        1     
I16                  i      85.0                 34.57142857142857    I16_static_charger                       1     
I8                   i      42.672413793103445   65.77586206896552    I8_static_charger                        1     
I3                   i      22.4                 54.4                 I3_static_charger                        1     
I15                  i      85.0                 30.897435897435898   I15_static_charger                       1     
I9                   i      45.0                 68.46153846153847    I9_static_charger                        1     
I11                  i      69.42105263157895    32.89473684210526    I11_static_charger                       1     
DC_C39_C38_3         x      0.0                  40.1                 C39_to_C38_dynamic_charger               3     
