CID                                      InvCost              VarCost              ChargingRate        
S2_static_charger                        20.6482              0.0                  2.2222              
S9_static_charger                        24.321               0.0                  2.2222              
S20_static_charger                       19.3577              0.0                  2.2222              
S7_static_charger                        15.4321              0.0                  2.2222              
S3_static_charger                        22.1301              0.0                  2.2222              
S1_static_charger                        24.6251              0.0                  2.2222              
S11_static_charger                       17.2249              0.0                  2.2222              
S4_static_charger                        18.5324              0.0                  2.2222              
S15_static_charger                       22.1511              0.0                  2.2222              
S10_static_charger                       17.9454              0.0                  2.2222              
S5_static_charger                        24.7237              0.0                  2.2222              
S17_static_charger                       23.6783              0.0                  2.2222              
S13_static_charger                       19.6527              0.0                  2.2222              
S8_static_charger                        21.0667              0.0                  2.2222              
S14_static_charger                       17.6645              0.0                  2.2222              
S18_static_charger                       16.625               0.0                  2.2222              
S16_static_charger                       17.6392              0.0                  2.2222              
S19_static_charger                       15.1777              0.0                  2.2222              
S6_static_charger                        18.5223              0.0                  2.2222              
S12_static_charger                       21.2482              0.0                  2.2222              
I1_static_charger                        23.2269              0.0                  2.2222              
I6_static_charger                        19.8687              0.0                  2.2222              
I13_static_charger                       23.7499              0.0                  2.2222              
I3_static_charger                        16.3046              0.0                  2.2222              
I4_static_charger                        16.2079              0.0                  2.2222              
I9_static_charger                        24.4834              0.0                  2.2222              
I10_static_charger                       19.4622              0.0                  2.2222              
I11_static_charger                       16.5389              0.0                  2.2222              
I8_static_charger                        21.4673              0.0                  2.2222              
I7_static_charger                        24.7576              0.0                  2.2222              
I14_static_charger                       23.8606              0.0                  2.2222              
I12_static_charger                       23.6812              0.0                  2.2222              
C69_to_Depot_dynamic_charger             2.4972               0.001                2.2222              
C28_to_Depot_dynamic_charger             1.7139               0.001                2.2222              
C64_to_C63_dynamic_charger               2.2043               0.001                8.8889              
C29_to_C24_dynamic_charger               2.3026               0.001                8.8889              
C45_to_C17_dynamic_charger               2.3708               0.001                2.2222              
C28_to_Depot_dynamic_charger             1.7139               0.001                2.2222              
C76_to_C79_dynamic_charger               1.5223               0.001                2.2222              
Depot_to_C76_dynamic_charger             2.3562               0.001                8.8889              
C49_to_C47_dynamic_charger               1.9142               0.001                8.8889              
C57_to_C15_dynamic_charger               1.6189               0.001                2.2222              
C13_to_Depot_dynamic_charger             2.0184               0.001                8.8889              
C5_to_C93_dynamic_charger                2.012                0.001                8.8889              
Depot_to_C20_dynamic_charger             1.8049               0.001                8.8889              
C10_to_C11_dynamic_charger               2.0131               0.001                2.2222              
C67_to_C39_dynamic_charger               1.7542               0.001                2.2222              
C37_to_C57_dynamic_charger               1.6485               0.001                2.2222              
C57_to_C15_dynamic_charger               1.6189               0.001                2.2222              
C10_to_C11_dynamic_charger               2.0131               0.001                2.2222              
C54_to_C55_dynamic_charger               1.7946               0.001                2.2222              
Depot_to_C20_dynamic_charger             1.8049               0.001                8.8889              
C2_to_C58_dynamic_charger                1.9518               0.001                8.8889              
C14_to_C100_dynamic_charger              2.4538               0.001                8.8889              
C66_to_C65_dynamic_charger               1.5943               0.001                2.2222              
