CID                                      InvCost              VarCost              ChargingRate        
S11_static_charger                       17.6908              0.0                  0.295               
S1_static_charger                        20.8118              0.0                  0.295               
S7_static_charger                        18.4241              0.0                  0.295               
S13_static_charger                       23.3843              0.0                  0.295               
S18_static_charger                       17.1856              0.0                  0.295               
S2_static_charger                        18.6782              0.0                  0.295               
S20_static_charger                       20.9865              0.0                  0.295               
S14_static_charger                       20.7678              0.0                  0.295               
S17_static_charger                       18.376               0.0                  0.295               
S5_static_charger                        22.4586              0.0                  0.295               
S3_static_charger                        16.4971              0.0                  0.295               
S12_static_charger                       22.6533              0.0                  0.295               
S4_static_charger                        18.211               0.0                  0.295               
S9_static_charger                        16.2356              0.0                  0.295               
S8_static_charger                        19.2703              0.0                  0.295               
S19_static_charger                       16.1839              0.0                  0.295               
S10_static_charger                       20.0196              0.0                  0.295               
S15_static_charger                       18.2595              0.0                  0.295               
S16_static_charger                       24.4723              0.0                  0.295               
S6_static_charger                        20.0893              0.0                  0.295               
I4_static_charger                        20.9225              0.0                  0.295               
I18_static_charger                       20.2073              0.0                  0.295               
I6_static_charger                        16.6102              0.0                  0.295               
I16_static_charger                       22.0465              0.0                  0.295               
I1_static_charger                        16.8886              0.0                  0.295               
I19_static_charger                       17.1407              0.0                  0.295               
I3_static_charger                        22.7134              0.0                  0.295               
I10_static_charger                       21.9778              0.0                  0.295               
I9_static_charger                        23.467               0.0                  0.295               
I13_static_charger                       23.5063              0.0                  0.295               
I7_static_charger                        24.0786              0.0                  0.295               
I5_static_charger                        22.3123              0.0                  0.295               
I11_static_charger                       16.5447              0.0                  0.295               
I14_static_charger                       24.6274              0.0                  0.295               
I2_static_charger                        19.7217              0.0                  0.295               
I15_static_charger                       20.7209              0.0                  0.295               
I8_static_charger                        22.5549              0.0                  0.295               
C31_to_C51_dynamic_charger               1.7783               0.001                1.1799              
C97_to_C100_dynamic_charger              1.5478               0.001                1.1799              
C74_to_C79_dynamic_charger               2.2454               0.001                0.295               
C16_to_C19_dynamic_charger               2.4521               0.001                0.295               
C69_to_C77_dynamic_charger               2.2697               0.001                0.295               
C69_to_C77_dynamic_charger               2.2697               0.001                0.295               
C78_to_C81_dynamic_charger               1.624                0.001                1.1799              
Depot_to_C23_dynamic_charger             1.5983               0.001                0.295               
C6_to_C7_dynamic_charger                 2.4743               0.001                0.295               
C30_to_C34_dynamic_charger               1.8264               0.001                1.1799              
C5_to_Depot_dynamic_charger              2.1589               0.001                1.1799              
C5_to_Depot_dynamic_charger              2.1589               0.001                1.1799              
Depot_to_C63_dynamic_charger             1.7639               0.001                1.1799              
C19_to_C18_dynamic_charger               1.9616               0.001                1.1799              
C10_to_C11_dynamic_charger               1.9371               0.001                1.1799              
C99_to_Depot_dynamic_charger             1.6105               0.001                1.1799              
C18_to_C17_dynamic_charger               2.0257               0.001                1.1799              
C71_to_C76_dynamic_charger               2.3708               0.001                1.1799              
C98_to_C96_dynamic_charger               1.7018               0.001                1.1799              
C72_to_C61_dynamic_charger               1.7311               0.001                1.1799              
C49_to_C52_dynamic_charger               2.1799               0.001                0.295               
C4_to_C6_dynamic_charger                 2.0493               0.001                1.1799              
C85_to_C88_dynamic_charger               1.5197               0.001                1.1799              
Depot_to_C20_dynamic_charger             2.2079               0.001                0.295               
C31_to_C51_dynamic_charger               1.7783               0.001                1.1799              
C71_to_C76_dynamic_charger               2.3708               0.001                1.1799              
C74_to_C79_dynamic_charger               2.2454               0.001                0.295               
C30_to_C34_dynamic_charger               1.8264               0.001                1.1799              
C82_to_C83_dynamic_charger               1.8125               0.001                0.295               
C83_to_C84_dynamic_charger               2.3768               0.001                0.295               
C93_to_C97_dynamic_charger               1.8964               0.001                0.295               
C74_to_C79_dynamic_charger               2.2454               0.001                0.295               
C60_to_C58_dynamic_charger               2.4659               0.001                1.1799              
C100_to_C99_dynamic_charger              1.5461               0.001                0.295               
Depot_to_C21_dynamic_charger             1.8167               0.001                1.1799              
C16_to_C19_dynamic_charger               2.4521               0.001                0.295               
C49_to_C52_dynamic_charger               2.1799               0.001                0.295               
C59_to_C60_dynamic_charger               1.7112               0.001                0.295               
C72_to_C61_dynamic_charger               1.7311               0.001                1.1799              
C59_to_C60_dynamic_charger               1.7112               0.001                0.295               
C33_to_C28_dynamic_charger               2.3235               0.001                0.295               
C33_to_C28_dynamic_charger               2.3235               0.001                0.295               
C59_to_C60_dynamic_charger               1.7112               0.001                0.295               
C16_to_C19_dynamic_charger               2.4521               0.001                0.295               
C97_to_C100_dynamic_charger              1.5478               0.001                1.1799              
C56_to_C53_dynamic_charger               2.292                0.001                1.1799              
C77_to_C80_dynamic_charger               1.8795               0.001                1.1799              
C89_to_C91_dynamic_charger               2.2852               0.001                0.295               
C30_to_C34_dynamic_charger               1.8264               0.001                1.1799              
C29_to_C32_dynamic_charger               2.3042               0.001                1.1799              
C15_to_C13_dynamic_charger               2.4994               0.001                0.295               
C78_to_C81_dynamic_charger               1.624                0.001                1.1799              
C29_to_C32_dynamic_charger               2.3042               0.001                1.1799              
C54_to_C55_dynamic_charger               1.9101               0.001                1.1799              
C72_to_C61_dynamic_charger               1.7311               0.001                1.1799              
C89_to_C91_dynamic_charger               2.2852               0.001                0.295               
C30_to_C34_dynamic_charger               1.8264               0.001                1.1799              
C100_to_C99_dynamic_charger              1.5461               0.001                0.295               
Depot_to_C20_dynamic_charger             2.2079               0.001                0.295               
C98_to_C96_dynamic_charger               1.7018               0.001                1.1799              
C35_to_C31_dynamic_charger               2.2846               0.001                1.1799              
C19_to_C18_dynamic_charger               1.9616               0.001                1.1799              
C60_to_C58_dynamic_charger               2.4659               0.001                1.1799              
C6_to_C7_dynamic_charger                 2.4743               0.001                0.295               
C37_to_C35_dynamic_charger               1.5875               0.001                1.1799              
C16_to_C19_dynamic_charger               2.4521               0.001                0.295               
C17_to_C15_dynamic_charger               1.9368               0.001                1.1799              
C78_to_C81_dynamic_charger               1.624                0.001                1.1799              
C66_to_Depot_dynamic_charger             1.7375               0.001                0.295               
C39_to_C38_dynamic_charger               1.81                 0.001                1.1799              
C37_to_C35_dynamic_charger               1.5875               0.001                1.1799              
C65_to_C86_dynamic_charger               2.3674               0.001                1.1799              
C78_to_C81_dynamic_charger               1.624                0.001                1.1799              
C71_to_C76_dynamic_charger               2.3708               0.001                1.1799              
C10_to_C11_dynamic_charger               1.9371               0.001                1.1799              
C46_to_C47_dynamic_charger               1.7208               0.001                1.1799              
C54_to_C55_dynamic_charger               1.9101               0.001                1.1799              
C60_to_C58_dynamic_charger               2.4659               0.001                1.1799              
C69_to_C77_dynamic_charger               2.2697               0.001                0.295               
C80_to_C72_dynamic_charger               2.0017               0.001                1.1799              
Depot_to_C21_dynamic_charger             1.8167               0.001                1.1799              
C65_to_C86_dynamic_charger               2.3674               0.001                1.1799              
C19_to_C18_dynamic_charger               1.9616               0.001                1.1799              
C29_to_C32_dynamic_charger               2.3042               0.001                1.1799              
C47_to_C43_dynamic_charger               1.8095               0.001                1.1799              
C35_to_C31_dynamic_charger               2.2846               0.001                1.1799              
Depot_to_C63_dynamic_charger             1.7639               0.001                1.1799              
C47_to_C43_dynamic_charger               1.8095               0.001                1.1799              
C100_to_C99_dynamic_charger              1.5461               0.001                0.295               
C82_to_C83_dynamic_charger               1.8125               0.001                0.295               
C97_to_C100_dynamic_charger              1.5478               0.001                1.1799              
C35_to_C31_dynamic_charger               2.2846               0.001                1.1799              
C6_to_C7_dynamic_charger                 2.4743               0.001                0.295               
C17_to_C15_dynamic_charger               1.9368               0.001                1.1799              
C18_to_C17_dynamic_charger               2.0257               0.001                1.1799              
C93_to_C97_dynamic_charger               1.8964               0.001                0.295               
C65_to_C86_dynamic_charger               2.3674               0.001                1.1799              
C6_to_C7_dynamic_charger                 2.4743               0.001                0.295               
C22_to_C25_dynamic_charger               2.3762               0.001                1.1799              
C54_to_C55_dynamic_charger               1.9101               0.001                1.1799              
