VID                  Type   x                    y                    CID                                      Seq   
S9                   f      18.0                 58.0                 S9_static_charger                        1     
S16                  f      48.0                 11.0                 S16_static_charger                       1     
S2                   f      90.0                 55.0                 S2_static_charger                        1     
S13                  f      26.0                 37.0                 S13_static_charger                       1     
S20                  f      90.0                 44.0                 S20_static_charger                       1     
S8                   f      4.0                  83.0                 S8_static_charger                        1     
S14                  f      28.0                 13.0                 S14_static_charger                       1     
S11                  f      13.0                 31.0                 S11_static_charger                       1     
S12                  f      -5.0                 38.0                 S12_static_charger                       1     
S17                  f      59.0                 17.0                 S17_static_charger                       1     
S6                   f      39.0                 96.0                 S6_static_charger                        1     
S7                   f      23.0                 80.0                 S7_static_charger                        1     
S4                   f      69.0                 89.0                 S4_static_charger                        1     
S15                  f      39.0                 31.0                 S15_static_charger                       1     
S5                   f      32.0                 80.0                 S5_static_charger                        1     
S10                  f      1.0                  56.0                 S10_static_charger                       1     
S3                   f      55.0                 79.0                 S3_static_charger                        1     
S1                   f      73.0                 52.0                 S1_static_charger                        1     
S19                  f      74.0                 32.0                 S19_static_charger                       1     
S18                  f      73.0                 23.0                 S18_static_charger                       1     
I6                   i      58.2                 58.4                 I6_static_charger                        1     
I1                   i      61.118811881188115   51.603960396039604   I1_static_charger                        1     
I3                   i      56.25                35.0                 I3_static_charger                        1     
DC_C82_Depot_0       x      27.088047110351408   43.04740998249691    C82_to_Depot_dynamic_charger             0     
DC_C34_C50_1         x      80.63333333333334    35.0                 C34_to_C50_dynamic_charger               1     
DC_C82_Depot_1       x      31.362682370117135   45.3491366608323     C82_to_Depot_dynamic_charger             1     
DC_C100_C55_2        x      30.33804737841582    62.366331648910744   C100_to_C55_dynamic_charger              2     
DC_C74_C52_0         x      20.04472135909999    20.089442718199983   C74_to_C52_dynamic_charger               0     
DC_C76_C89_1         x      62.35690355922196    9.64309644077804     C76_to_C89_dynamic_charger               1     
DC_C88_Depot_2       x      39.91055728180002    50.04472135909999    C88_to_Depot_dynamic_charger             2     
DC_C74_C52_1         x      21.681573786366663   23.36314757273333    C74_to_C52_dynamic_charger               1     
DC_C99_C57_2         x      28.65428697789823    28.36428255525442    C99_to_C57_dynamic_charger               2     
