VID                  Type   x                    y                    CID                                      Seq   
S5                   f      32.0                 80.0                 S5_static_charger                        1     
S16                  f      48.0                 11.0                 S16_static_charger                       1     
S4                   f      69.0                 89.0                 S4_static_charger                        1     
S8                   f      4.0                  83.0                 S8_static_charger                        1     
S6                   f      39.0                 96.0                 S6_static_charger                        1     
S12                  f      -5.0                 38.0                 S12_static_charger                       1     
S10                  f      1.0                  56.0                 S10_static_charger                       1     
S2                   f      90.0                 55.0                 S2_static_charger                        1     
S20                  f      90.0                 44.0                 S20_static_charger                       1     
S7                   f      23.0                 80.0                 S7_static_charger                        1     
S17                  f      59.0                 17.0                 S17_static_charger                       1     
S19                  f      74.0                 32.0                 S19_static_charger                       1     
S18                  f      73.0                 23.0                 S18_static_charger                       1     
S13                  f      26.0                 37.0                 S13_static_charger                       1     
S15                  f      39.0                 31.0                 S15_static_charger                       1     
S1                   f      73.0                 52.0                 S1_static_charger                        1     
S9                   f      18.0                 58.0                 S9_static_charger                        1     
S14                  f      28.0                 13.0                 S14_static_charger                       1     
S3                   f      55.0                 79.0                 S3_static_charger                        1     
S11                  f      13.0                 31.0                 S11_static_charger                       1     
I1                   i      55.62903225806452    30.693548387096776   I1_static_charger                        1     
I3                   i      90.8                 33.0                 I3_static_charger                        1     
I6                   i      57.28260869565217    83.3695652173913     I6_static_charger                        1     
I5                   i      61.61538461538461    17.923076923076923   I5_static_charger                        1     
C23                  ic     38.0                 5.0                  I2_static_charger                        1     
C85                  ic     63.0                 23.0                 I4_static_charger                        1     
DC_C74_C13_0         x      19.92928932042936    20.07071067957064    C74_to_C13_dynamic_charger               0     
DC_C86_C83_1         x      26.36387191150714    26.346693961284373   C86_to_C83_dynamic_charger               1     
DC_C63_C30_2         x      87.90829299288289    29.960127388209955   C63_to_C30_dynamic_charger               2     
DC_C32_C62_0         x      86.90248671292815    30.022162110698147   C32_to_C62_dynamic_charger               0     
DC_C8_C2_0           x      15.081373349646752   79.94187617882375    C8_to_C2_dynamic_charger                 0     
DC_C66_C59_0         x      40.912318758985734   36.95191673879863    C66_to_C59_dynamic_charger               0     
DC_C9_C87_3          x      11.982111456360004   24.098386990019982   C9_to_C87_dynamic_charger                3     
DC_C61_C54_2         x      51.636852427266675   61.68157378636666    C61_to_C54_dynamic_charger               2     
DC_C74_C13_1         x      14.976429773476452   25.023570226523546   C74_to_C13_dynamic_charger               1     
DC_C90_C79_3         x      6.082791870052018    67.94391518480347    C90_to_C79_dynamic_charger               3     
