CID                                      InvCost              VarCost              ChargingRate        
S19_static_charger                       22.5176              0.0                  2.1739              
S5_static_charger                        23.1037              0.0                  2.1739              
S16_static_charger                       23.7612              0.0                  2.1739              
S12_static_charger                       17.8849              0.0                  2.1739              
S20_static_charger                       18.1125              0.0                  2.1739              
S14_static_charger                       24.7251              0.0                  2.1739              
S3_static_charger                        24.0278              0.0                  2.1739              
S10_static_charger                       17.4036              0.0                  2.1739              
S4_static_charger                        18.6268              0.0                  2.1739              
S9_static_charger                        23.0926              0.0                  2.1739              
S8_static_charger                        17.3465              0.0                  2.1739              
S15_static_charger                       16.5367              0.0                  2.1739              
S11_static_charger                       24.0571              0.0                  2.1739              
S2_static_charger                        16.1968              0.0                  2.1739              
S1_static_charger                        21.8405              0.0                  2.1739              
S7_static_charger                        17.7382              0.0                  2.1739              
S18_static_charger                       17.2633              0.0                  2.1739              
S6_static_charger                        18.5393              0.0                  2.1739              
S17_static_charger                       19.172               0.0                  2.1739              
S13_static_charger                       19.1304              0.0                  2.1739              
I3_static_charger                        22.4315              0.0                  2.1739              
I2_static_charger                        20.6617              0.0                  2.1739              
I5_static_charger                        18.5548              0.0                  2.1739              
I6_static_charger                        19.9297              0.0                  2.1739              
I4_static_charger                        15.8946              0.0                  2.1739              
I12_static_charger                       23.0442              0.0                  2.1739              
I14_static_charger                       15.9327              0.0                  2.1739              
I8_static_charger                        21.2411              0.0                  2.1739              
I11_static_charger                       22.7596              0.0                  2.1739              
I15_static_charger                       24.161               0.0                  2.1739              
I9_static_charger                        24.0498              0.0                  2.1739              
I10_static_charger                       21.5445              0.0                  2.1739              
C100_to_C85_dynamic_charger              2.0396               0.001                8.6957              
C95_to_C94_dynamic_charger               2.4508               0.001                2.1739              
C67_to_C39_dynamic_charger               2.0048               0.001                2.1739              
C15_to_C42_dynamic_charger               1.8327               0.001                8.6957              
C90_to_C10_dynamic_charger               2.1598               0.001                2.1739              
Depot_to_C1_dynamic_charger              1.913                0.001                2.1739              
C39_to_C4_dynamic_charger                1.8465               0.001                2.1739              
C20_to_C66_dynamic_charger               1.9118               0.001                8.6957              
C76_to_C28_dynamic_charger               1.5133               0.001                2.1739              
C88_to_Depot_dynamic_charger             1.8539               0.001                8.6957              
Depot_to_C6_dynamic_charger              2.0809               0.001                2.1739              
